demand_state,total_forecast,total_lower_95,total_upper_95,demand_share_%,centroid_lat,centroid_lng,avg_freight,late_rate
SP,12124.488158069833,10917.928522875816,13318.26437595837,40.36,-23.51395046250292,-46.69405053802869,15.115182354460902,0.0576774026868756
RJ,3998.1835015926117,3383.551102302119,4640.639872922009,13.31,-22.888871412718512,-43.24398668180498,20.911436046100544,0.1297461641801598
MG,3647.618507979413,3168.2836459082364,4153.076485306194,12.14,-19.92593059565416,-43.976732227595306,20.626342520904306,0.0544286156704862
RS,1759.4508372553191,1478.4183726021743,2034.2821276739821,5.86,-29.88619897807146,-51.22766868774895,21.61319204434301,0.068796869905445
PR,1497.0147006639845,1317.256004447937,1676.8489176472808,4.98,-25.39156863558196,-50.22913672263493,20.47181625066383,0.0477960701009028
SC,1136.6609324885037,941.9196198918544,1329.0440913111652,3.78,-27.143863729700307,-49.00620417524838,21.507359043202342,0.0961679277520136
BA,1071.865350107632,946.6836725549493,1200.027637871778,3.57,-12.949608777186148,-38.75992915537925,26.487556339940262,0.1368449633450991
ES,679.2048266492832,574.8373334811902,789.8348108500956,2.26,-20.29948099526813,-40.31401380044899,22.0289797752809,0.1222471910112359
GO,653.9911916458234,540.6223941302768,760.4936744318952,2.18,-16.69242026700393,-49.259448951079584,22.562867808519982,0.0786122090469916
DF,537.056661727936,530.7028316359322,542.9533956435665,1.79,-15.817454799245828,-47.9523136781264,21.07216135881104,0.0743099787685774
PE,534.040657030351,464.8833190499247,606.4988114070422,1.78,-8.082222597564279,-34.94832623326175,32.693333333333335,0.1019473081328751
CE,438.95676556899195,362.5899982725286,509.69726292649744,1.46,-3.7983372957287616,-38.579741871141465,32.73449509116409,0.152875175315568
MT,307.93371814487557,259.6020298704449,355.39935426097964,1.03,-15.556810920088854,-56.05582592431282,27.996914175506262,0.0675024108003857
MS,290.7938221923589,287.02663752197316,294.7115075088743,0.97,-20.48331455343638,-54.6090492618731,23.35090012330457,0.1085080147965474
PA,265.2346113683785,209.2198942355583,318.1769082407066,0.88,-1.4500624701799327,-48.473887637919226,35.62901328273245,0.1242884250474383
MA,239.02955972983375,188.86861741476832,288.39635423104795,0.8,-2.5615055964934945,-44.28465281383807,38.4927125,0.20375
RN,159.78132456745766,134.54257212208876,185.5501399487829,0.53,-5.838238648352185,-35.248122327060045,35.71808061420345,0.1036468330134357
PI,149.1427157172514,127.60981126407648,170.74455690552563,0.5,-5.089456073053631,-42.76657048128411,39.11508604206501,0.1548757170172084
PB,124.81825687830394,102.59541215529231,146.2464857711346,0.42,-7.122604138496156,-34.896428283549255,43.09168941979522,0.1126279863481228
AL,112.62897772849527,88.51486866174271,137.1038835645766,0.37,-9.632971026920206,-35.75477750805007,35.87065573770492,0.2412177985948477
TO,86.53019911277129,86.47570581683368,86.58411877215616,0.29,-10.19889488503726,-48.32496910635424,37.43503225806452,0.1225806451612903
SE,79.00028317648922,69.46969923610095,72.3478446135974,0.26,-10.930554081164722,-37.07104333389113,36.57317333333334,0.1626666666666666
RO,66.52686771902532,61.541992045377945,72.2889263289846,0.22,-9.89841060028339,-63.700201037604295,41.33054945054945,0.0402930402930402
AM,40.08301016671645,39.02151283350399,20.730034489837404,0.13,-3.092198615875121,-60.01020551636287,33.31061349693252,0.0429447852760736
AP,16.202182569839458,16.078906586193188,16.343659865387053,0.05,0.0335411401319673,-51.07000546471101,34.160493827160494,0.0493827160493827
AC,16.056130367904498,16.017312428281553,16.093287049911872,0.05,-9.968815683567623,-67.828796737997,40.04791208791209,0.0329670329670329
RR,5.806748238311762,4.703874751597006,7.060940067386772,0.02,2.821374037729382,-60.6803409946078,43.08804347826087,0.108695652173913
