,SP,RJ,MG,RS,PR,SC,BA,DF,ES,GO,PE,CE,PA,MT,MA,MS,PB,PI,RN,AL,SE,TO,RO,AM,AC,AP,RR
SP,0.0,359.3782470762771,487.78008281665774,839.3427237976678,414.2500317162367,465.71048763810415,1441.985928548379,865.8725266285018,748.8367335084132,804.3576558143916,2124.02925834542,2359.1854043617755,2460.8821904823785,1320.2123136235236,2344.1914274210085,882.6591200198046,2215.6238926673655,2091.516803852837,2316.027683249036,1932.0514837382282,1731.110747260365,1490.6463616541585,2356.0187912463907,2684.5087220971736,2701.507102525919,2660.6673108020887,3296.9575423168517
RJ,359.3782470762771,0.0,338.0810830943192,1111.8633393919479,761.3089900328057,748.7780370117168,1202.4043639961774,928.3491221707988,417.9041706082549,932.88976741796,1869.6044626744792,2181.29447720139,2449.8474521791245,1571.6278566167184,2263.082395757137,1203.990883769967,1967.4840567884205,1979.8684959994864,2080.8191994446456,1675.7399332082653,1482.3495464503576,1510.9198361843673,2611.209305135413,2847.1519811673634,2982.248900286251,2685.74515935237,3427.7974430169334
MG,487.78008281665774,338.0810830943192,0.0,1326.2932659384032,883.4268016325317,952.0942952360771,954.3638516923103,620.978647769743,384.6796842594124,663.434005889765,1636.788224209795,1886.339711947158,2111.820743090957,1367.8158060386663,1931.1254741341481,1111.0429731615668,1727.9190304172703,1654.929488991113,1828.5901601122168,1445.2500623793767,1243.7666111321519,1177.7918934443078,2391.1725846315526,2555.4146984164263,2786.686373193574,2350.0076868923074,3118.202535618972
RS,839.3427237976678,1111.8633393919479,1326.2932659384032,0.0,509.35849310785534,374.26896324053445,2278.9626156703753,1599.6960924215082,1529.3233915617714,1480.6954051776638,2959.3599631807288,3191.5367101046722,3175.3196279547747,1667.9414466215103,3125.3751425010482,1099.3238133285872,3052.5300964004095,2896.761940195426,3154.875539636195,2766.522124767073,2567.0450445971624,2209.7399504222076,2572.0643349381035,3119.770096515185,2805.6489591213685,3326.965235580039,3773.2912598283397
PR,414.2500317162367,761.3089900328057,883.4268016325317,509.35849310785534,0.0,229.85373291838846,1832.1464173244055,1090.5634197756292,1162.528943452229,972.507414312634,2514.9886990264126,2704.3743390038144,2668.8189501642487,1250.1985278851314,2617.125873064924,706.279122103013,2603.020942536287,2393.52466546421,2696.128257626244,2325.0435632017097,2122.244655529924,1701.2432445067225,2233.4692730824067,2691.2098572674486,2527.3528311353607,2828.586542712231,3333.2750132151614
SC,465.71048763810415,748.7780370117168,952.0942952360771,374.26896324053445,229.85373291838846,0.0,1904.755578017024,1264.1288132948014,1166.3985957199968,1162.4398652912978,2585.4336224549065,2822.3402317652058,2857.5844549862504,1479.9700956121908,2779.2743826624887,934.2149517295951,2678.364384106971,2539.9453710925404,2780.646312769049,2392.734873739569,2192.986989826618,1885.5472872337473,2460.0399635213894,2919.324327064564,2746.0676938140346,3030.0310098219584,3559.4960090302793
BA,1441.985928548379,1202.4043639961774,954.3638516923103,2278.9626156703753,1832.1464173244055,1904.755578017024,0.0,1040.0131054163537,833.845148706645,1202.6122946306057,682.9789460029749,1017.7675741316046,1667.1368873549125,1885.8059602567514,1305.2611112724626,1882.5265605155491,773.6920954434446,978.351386014085,879.4881117362308,493.3098243872102,290.0994445024015,1085.7671450181158,2738.170343217705,2580.7996826816407,3183.4024503820833,1981.3605387185999,2988.528340740636
DF,865.8725266285018,928.3491221707988,620.978647769743,1599.6960924215082,1090.5634197756292,1264.1288132948014,1040.0131054163537,0.0,948.6355305457149,170.10474041259513,1654.446367280958,1684.1842578157393,1598.6040230154422,867.9370008416552,1527.7292519521525,873.7735657992262,1718.7960844507422,1320.4238233270735,1775.0321097092417,1490.2776271329915,1296.035886172752,626.0573476602509,1828.5837460704563,1934.7797976788524,2248.8969171555214,1795.4670145805364,2500.911601097007
ES,748.8367335084132,417.9041706082549,384.6796842594124,1529.3233915617714,1162.528943452229,1166.3985957199968,833.845148706645,948.6355305457149,0.0,1024.7558917414963,1475.997507458595,1844.4343424358924,2275.7370103303506,1745.843441124068,2018.8729230032045,1489.5937609176185,1577.1897971542035,1711.9345402371232,1698.5087519364208,1282.873117667484,1097.9879546929394,1413.3636966868546,2759.304043284057,2866.946173954323,3162.5025628516296,2545.9464588876162,3397.8442790818362
GO,804.3576558143916,932.88976741796,663.434005889765,1480.6954051776638,972.507414312634,1162.4398652912978,1202.6122946306057,170.10474041259513,1024.7558917414963,0.0,1823.9021442337148,1847.9190981132033,1697.05248109777,736.8452003167632,1662.7494712010919,703.8456578983502,1888.7738447453114,1471.496680828623,1945.018930226465,1658.4755690067368,1463.0481450054524,729.0765100111769,1734.5653064485332,1914.8399719522745,2142.0649389143337,1870.3991495961898,2506.244169052474
