order_month,demand_state,orders,items,revenue,freight
2017-01-01,AC,2,4,723.14,133.54
2017-02-01,AC,3,6,597.4,147.0
2017-03-01,AC,2,2,530.1800000000001,74.19
2017-04-01,AC,5,5,1351.51,189.13
2017-05-01,AC,8,8,2371.73,277.34
2017-06-01,AC,4,4,510.27,124.49
2017-07-01,AC,5,5,794.4,175.71
2017-08-01,AC,4,4,765.8299999999999,127.9
2017-09-01,AC,5,5,2029.23,242.34
2017-10-01,AC,5,5,863.8,180.57999999999998
2017-11-01,AC,5,5,945.16,295.24
2017-12-01,AC,5,6,1409.58,308.8
2018-01-01,AC,6,6,1157.8899999999999,274.95
2018-02-01,AC,3,3,299.22,97.39
2018-03-01,AC,2,2,164.67000000000002,66.87
2018-04-01,AC,4,4,588.1700000000001,165.19
2018-05-01,AC,2,2,1501.42,136.53
2018-06-01,AC,3,3,597.26,169.36
2018-07-01,AC,4,9,1769.95,299.98
2018-08-01,AC,3,3,604.52,157.82999999999998
2016-10-01,AL,1,1,76.6,26.61
2017-01-01,AL,2,3,454.36,60.39
2017-02-01,AL,12,12,2967.87,351.84
2017-03-01,AL,10,10,1421.5,246.71
2017-04-01,AL,21,22,5169.93,600.81
2017-05-01,AL,26,27,5634.42,935.17
2017-06-01,AL,10,10,1268.97,317.32
2017-07-01,AL,15,17,2839.57,600.63
2017-08-01,AL,17,18,9558.32,669.05
2017-09-01,AL,19,19,5093.78,788.39
2017-10-01,AL,28,33,6341.58,997.22
2017-11-01,AL,26,33,7441.47,1505.21
2017-12-01,AL,12,12,2680.76,456.89
2018-01-01,AL,36,37,6218.42,1209.14
2018-02-01,AL,27,29,5680.85,1087.78
2018-03-01,AL,27,31,7465.3099999999995,1058.36
2018-04-01,AL,27,29,7006.46,1050.23
2018-05-01,AL,19,19,4393.1,736.01
2018-06-01,AL,24,26,4852.93,1122.33
2018-07-01,AL,22,22,4692.58,836.25
2018-08-01,AL,16,17,2913.71,660.43
2017-02-01,AM,8,8,1122.54,219.65
2017-03-01,AM,5,6,793.39,162.0
2017-04-01,AM,13,13,1176.23,339.85
2017-05-01,AM,8,8,1244.49,227.72
2017-06-01,AM,1,1,204.84,34.85
2017-07-01,AM,5,7,951.4,245.8
2017-08-01,AM,5,6,1483.4099999999999,206.81
2017-09-01,AM,9,10,1518.44,355.15999999999997
2017-10-01,AM,3,3,164.56,93.67999999999999
2017-11-01,AM,10,10,3001.01,365.76
2017-12-01,AM,6,6,1173.6200000000001,144.16
2018-01-01,AM,12,12,3433.46,507.81
2018-02-01,AM,8,13,2486.58,457.96
2018-03-01,AM,8,10,1434.17,461.01
2018-04-01,AM,6,6,893.49,225.7
2018-05-01,AM,9,9,2181.79,369.99
2018-06-01,AM,7,10,1211.14,286.42
2018-07-01,AM,18,21,2598.41,593.5
2018-08-01,AM,4,4,512.5,131.8
2017-02-01,AP,2,6,707.1999999999999,157.35
2017-03-01,AP,3,4,412.89,109.1
2017-05-01,AP,4,4,1387.85,166.96
2017-06-01,AP,2,3,369.74,117.03999999999999
2017-07-01,AP,1,1,292.39,32.49
2017-08-01,AP,3,4,384.78,94.99000000000001
2017-09-01,AP,2,4,499.22,134.62
2017-10-01,AP,3,3,1696.74,104.89
